證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)
0056   	元大高股息   	20071226	    14.2060	    14.2626	    14.1211	    14.2343	     2354
0056   	元大高股息   	20071227	    14.2343	    14.4776	    14.2343	    14.3927	    10964
0056   	元大高股息   	20071228	    14.4493	    14.5229	    14.3758	    14.4890	     9327
0056   	元大高股息   	20071231	    14.5456	    14.7436	    14.5456	    14.7380	     3440
0056   	元大高股息   	20080102	    14.7154	    14.8002	    14.5456	    14.5739	     3824
0056   	元大高股息   	20080103	    14.3644	    14.4041	    14.2909	    14.3758	     3152
0056   	元大高股息   	20080104	    14.1947	    14.4041	    14.1777	    14.4041	     1543
0056   	元大高股息   	20080107	    14.1777	    14.3758	    14.1381	    14.1777	     5392
0056   	元大高股息   	20080108	    14.2060	    14.3758	    14.1947	    14.3531	     2480
0056   	元大高股息   	20080109	    14.2909	    14.4946	    14.2626	    14.4663	     1970
0056   	元大高股息   	20080110	    14.5908	    14.6248	    14.5173	    14.5739	     2394
0056   	元大高股息   	20080111	    14.6248	    14.6248	    14.5456	    14.6022	     2795
0056   	元大高股息   	20080114	    14.7154	    14.7436	    14.5059	    14.6588	     2800
0056   	元大高股息   	20080115	    14.7154	    15.0266	    14.6644	    14.8399	     6143
0056   	元大高股息   	20080116	    14.7154	    14.7154	    14.4493	    14.5739	     3914
0056   	元大高股息   	20080117	    14.6078	    14.6305	    14.0362	    14.1720	     3525
0056   	元大高股息   	20080118	    13.9796	    14.1777	    13.8437	    14.1777	     3825
0056   	元大高股息   	20080121	    14.1494	    14.1777	    14.0815	    14.0871	     1100
0056   	元大高股息   	20080122	    13.5834	    13.5834	    13.1023	    13.3004	     4991
0056   	元大高股息   	20080123	    13.4476	    13.4476	    13.0061	    13.0231	     3235
0056   	元大高股息   	20080124	    13.3004	    13.3570	    13.1023	    13.2495	     1651
0056   	元大高股息   	20080125	    13.4023	    13.4702	    13.2665	    13.4702	     2083
0056   	元大高股息   	20080128	    13.3004	    13.3004	    12.9608	    12.9608	     2590
0056   	元大高股息   	20080129	    13.0853	    13.1419	    12.7967	    12.8646	     1571
0056   	元大高股息   	20080130	    12.8759	    13.0740	    12.8646	    12.8703	     1312
0056   	元大高股息   	20080131	    12.8703	    12.9552	    12.7910	    12.8646	      718
0056   	元大高股息   	20080201	    13.0174	    13.0740	    13.0118	    13.0457	      710
0056   	元大高股息   	20080212	    12.9042	    13.0174	    12.9042	    12.9721	      654
0056   	元大高股息   	20080213	    13.0967	    13.0967	    12.8986	    12.9042	      767
0056   	元大高股息   	20080214	    13.0910	    13.3570	    13.0231	    13.3004	     1292
0056   	元大高股息   	20080215	    13.2099	    13.3287	    13.1306	    13.3004	      980
0056   	元大高股息   	20080218	    13.3853	    13.4532	    13.3457	    13.3910	      694
0056   	元大高股息   	20080219	    13.4702	    13.5721	    13.4589	    13.5438	      729
0056   	元大高股息   	20080220	    13.5268	    13.5664	    13.3910	    13.3966	      815
0056   	元大高股息   	20080221	    13.4136	    13.4815	    13.4023	    13.4645	     1323
0056   	元大高股息   	20080222	    13.4419	    13.4702	    13.3344	    13.4702	      756
0056   	元大高股息   	20080225	    13.5777	    13.7249	    13.5551	    13.7249	     1184
0056   	元大高股息   	20080226	    13.8664	    14.0928	    13.7249	    13.8664	     1444
0056   	元大高股息   	20080227	    14.0362	    14.0362	    13.8664	    13.8947	      915
0056   	元大高股息   	20080229	    13.9230	    14.0305	    13.7985	    14.0079	      924
0056   	元大高股息   	20080303	    13.5891	    13.9456	    13.5834	    13.9456	      676
0056   	元大高股息   	20080304	    13.9400	    14.1494	    13.9286	    14.1267	      888
0056   	元大高股息   	20080305	    14.1267	    14.2060	    14.1098	    14.1494	     1241
