"證券代碼	簡稱	年月日	收盤價(元)"
"0056   	元大高股息   	20071226	    14.2343"
"0056   	元大高股息   	20071227	    14.3927"
"0056   	元大高股息   	20071228	    14.4890"
"0056   	元大高股息   	20071231	    14.7380"
"0056   	元大高股息   	20080102	    14.5739"
"0056   	元大高股息   	20080103	    14.3758"
"0056   	元大高股息   	20080104	    14.4041"
"0056   	元大高股息   	20080107	    14.1777"
"0056   	元大高股息   	20080108	    14.3531"
"0056   	元大高股息   	20080109	    14.4663"
"0056   	元大高股息   	20080110	    14.5739"
"0056   	元大高股息   	20080111	    14.6022"
"0056   	元大高股息   	20080114	    14.6588"
"0056   	元大高股息   	20080115	    14.8399"
"0056   	元大高股息   	20080116	    14.5739"
"0056   	元大高股息   	20080117	    14.1720"
"0056   	元大高股息   	20080118	    14.1777"
"0056   	元大高股息   	20080121	    14.0871"
"0056   	元大高股息   	20080122	    13.3004"
"0056   	元大高股息   	20080123	    13.0231"
"0056   	元大高股息   	20080124	    13.2495"
"0056   	元大高股息   	20080125	    13.4702"
"0056   	元大高股息   	20080128	    12.9608"
"0056   	元大高股息   	20080129	    12.8646"
"0056   	元大高股息   	20080130	    12.8703"
"0056   	元大高股息   	20080131	    12.8646"
"0056   	元大高股息   	20080201	    13.0457"
"0056   	元大高股息   	20080212	    12.9721"
"0056   	元大高股息   	20080213	    12.9042"
"0056   	元大高股息   	20080214	    13.3004"
"0056   	元大高股息   	20080215	    13.3004"
"0056   	元大高股息   	20080218	    13.3910"
"0056   	元大高股息   	20080219	    13.5438"
"0056   	元大高股息   	20080220	    13.3966"
"0056   	元大高股息   	20080221	    13.4645"
"0056   	元大高股息   	20080222	    13.4702"
"0056   	元大高股息   	20080225	    13.7249"
"0056   	元大高股息   	20080226	    13.8664"
"0056   	元大高股息   	20080227	    13.8947"
"0056   	元大高股息   	20080229	    14.0079"
"0056   	元大高股息   	20080303	    13.9456"
"0056   	元大高股息   	20080304	    14.1267"
"0056   	元大高股息   	20080305	    14.1494"
