證券代碼	簡稱	年月日	收盤價(元)
0050   	元大台灣50   	20030630	    21.0811
0050   	元大台灣50   	20030701	    21.6325
0050   	元大台灣50   	20030702	    21.9964
0050   	元大台灣50   	20030703	    22.1726
0050   	元大台灣50   	20030704	    22.3204
0050   	元大台灣50   	20030707	    23.3097
0050   	元大台灣50   	20030708	    23.4177
0050   	元大台灣50   	20030709	    23.4348
0050   	元大台灣50   	20030710	    22.7696
0050   	元大台灣50   	20030711	    22.6900
0050   	元大台灣50   	20030714	    23.1164
0050   	元大台灣50   	20030715	    22.8492
0050   	元大台灣50   	20030716	    23.2244
0050   	元大台灣50   	20030717	    22.6275
0050   	元大台灣50   	20030718	    22.6957
0050   	元大台灣50   	20030721	    22.4000
0050   	元大台灣50   	20030722	    22.7298
0050   	元大台灣50   	20030723	    22.7696
0050   	元大台灣50   	20030724	    23.4405
0050   	元大台灣50   	20030725	    23.4405
0050   	元大台灣50   	20030728	    23.6394
0050   	元大台灣50   	20030729	    23.3211
0050   	元大台灣50   	20030730	    23.0823
0050   	元大台灣50   	20030731	    23.2358
0050   	元大台灣50   	20030801	    23.6508
0050   	元大台灣50   	20030804	    23.5371
0050   	元大台灣50   	20030805	    23.0254
0050   	元大台灣50   	20030806	    22.8719
0050   	元大台灣50   	20030807	    23.1391
0050   	元大台灣50   	20030808	    22.8435
0050   	元大台灣50   	20030811	    22.7980
0050   	元大台灣50   	20030812	    23.0539
0050   	元大台灣50   	20030813	    24.1341
0050   	元大台灣50   	20030814	    24.0488
0050   	元大台灣50   	20030815	    24.2876
0050   	元大台灣50   	20030818	    24.3330
0050   	元大台灣50   	20030819	    24.4467
0050   	元大台灣50   	20030820	    24.5548
0050   	元大台灣50   	20030821	    25.0153
0050   	元大台灣50   	20030822	    25.0380
0050   	元大台灣50   	20030825	    25.2143
0050   	元大台灣50   	20030826	    24.7083
0050   	元大台灣50   	20030827	    24.7992
0050   	元大台灣50   	20030828	    24.7651
0050   	元大台灣50   	20030829	    25.5383
0050   	元大台灣50   	20030901	    25.6691
0050   	元大台灣50   	20030902	    25.8794
0050   	元大台灣50   	20030903	    25.5838
0050   	元大台灣50   	20030904	    25.3052
0050   	元大台灣50   	20030905	    25.6009
0050   	元大台灣50   	20030908	    26.1239
0050   	元大台灣50   	20030909	    25.9818
0050   	元大台灣50   	20030910	    25.6407
0050   	元大台灣50   	20030912	    25.8510
0050   	元大台灣50   	20030915	    25.5838
0050   	元大台灣50   	20030916	    25.8396
0050   	元大台灣50   	20030917	    26.0329
0050   	元大台灣50   	20030918	    25.9704
0050   	元大台灣50   	20030919	    26.0386
0050   	元大台灣50   	20030922	    25.5838
0050   	元大台灣50   	20030923	    25.4701
0050   	元大台灣50   	20030924	    25.4985
0050   	元大台灣50   	20030925	    25.4985
0050   	元大台灣50   	20030926	    25.4985
0050   	元大台灣50   	20030929	    25.4189
0050   	元大台灣50   	20030930	    25.4132
0050   	元大台灣50   	20031001	    25.1062
0050   	元大台灣50   	20031002	    25.6122
0050   	元大台灣50   	20031003	    25.7600
0050   	元大台灣50   	20031006	    26.2945
0050   	元大台灣50   	20031007	    26.3115
0050   	元大台灣50   	20031008	    26.1523
0050   	元大台灣50   	20031009	    26.2319
0050   	元大台灣50   	20031013	    26.8289
0050   	元大台灣50   	20031014	    26.7265
0050   	元大台灣50   	20031015	    26.7493
0050   	元大台灣50   	20031016	    27.1188
0050   	元大台灣50   	20031017	    27.1700
0050   	元大台灣50   	20031020	    27.2894
0050   	元大台灣50   	20031021	    27.1757
0050   	元大台灣50   	20031022	    27.1757
0050   	元大台灣50   	20031023	    26.7777
0050   	元大台灣50   	20031024	    26.6924
0050   	元大台灣50   	20031027	    26.7209
0050   	元大台灣50   	20031028	    27.2041
0050   	元大台灣50   	20031029	    27.2894
0050   	元大台灣50   	20031030	    27.3804
0050   	元大台灣50   	20031031	    27.2894
0050   	元大台灣50   	20031103	    27.2894
0050   	元大台灣50   	20031104	    27.2894
0050   	元大台灣50   	20031105	    27.5395
0050   	元大台灣50   	20031106	    27.0620
0050   	元大台灣50   	20031107	    27.1643
0050   	元大台灣50   	20031110	    27.0108
0050   	元大台灣50   	20031111	    26.8232
0050   	元大台灣50   	20031112	    26.7322
0050   	元大台灣50   	20031113	    26.9198
0050   	元大台灣50   	20031114	    27.0336
0050   	元大台灣50   	20031117	    26.5503
0050   	元大台灣50   	20031118	    26.4935
0050   	元大台灣50   	20031119	    26.1466
0050   	元大台灣50   	20031120	    25.9249
0050   	元大台灣50   	20031121	    25.9079
0050   	元大台灣50   	20031124	    25.9136
0050   	元大台灣50   	20031125	    26.1239
0050   	元大台灣50   	20031126	    26.1523
0050   	元大台灣50   	20031127	    25.8567
0050   	元大台灣50   	20031128	    25.5838
0050   	元大台灣50   	20031201	    26.2660
0050   	元大台灣50   	20031202	    26.2376
0050   	元大台灣50   	20031203	    26.1921
0050   	元大台灣50   	20031204	    26.2660
0050   	元大台灣50   	20031205	    26.3058
0050   	元大台灣50   	20031208	    26.3229
0050   	元大台灣50   	20031209	    26.1523
0050   	元大台灣50   	20031210	    26.0045
0050   	元大台灣50   	20031211	    26.0386
0050   	元大台灣50   	20031212	    26.2092
0050   	元大台灣50   	20031215	    26.4082
0050   	元大台灣50   	20031216	    26.2547
0050   	元大台灣50   	20031217	    25.7544
0050   	元大台灣50   	20031218	    25.8112
0050   	元大台灣50   	20031219	    25.6691
0050   	元大台灣50   	20031222	    26.0273
0050   	元大台灣50   	20031223	    26.0386
0050   	元大台灣50   	20031224	    26.0955
0050   	元大台灣50   	20031225	    26.0443
0050   	元大台灣50   	20031226	    26.0102
0050   	元大台灣50   	20031229	    25.8226
0050   	元大台灣50   	20031230	    26.0955
0050   	元大台灣50   	20031231	    26.1069
0050   	元大台灣50   	20040102	    26.8914
0050   	元大台灣50   	20040105	    27.1757
0050   	元大台灣50   	20040106	    27.1757
0050   	元大台灣50   	20040107	    27.1757
0050   	元大台灣50   	20040108	    27.3349
0050   	元大台灣50   	20040109	    27.5225
0050   	元大台灣50   	20040112	    27.5907
0050   	元大台灣50   	20040113	    27.5623
0050   	元大台灣50   	20040114	    27.8295
0050   	元大台灣50   	20040115	    27.8238
0050   	元大台灣50   	20040116	    27.8011
0050   	元大台灣50   	20040127	    27.9205
0050   	元大台灣50   	20040128	    27.8750
0050   	元大台灣50   	20040129	    27.6305
0050   	元大台灣50   	20040130	    27.5850
0050   	元大台灣50   	20040202	    27.4600
0050   	元大台灣50   	20040203	    27.0961
0050   	元大台灣50   	20040204	    26.9767
0050   	元大台灣50   	20040205	    26.9767
0050   	元大台灣50   	20040206	    27.2382
0050   	元大台灣50   	20040209	    27.5737
0050   	元大台灣50   	20040210	    27.5964
0050   	元大台灣50   	20040211	    27.4997
0050   	元大台灣50   	20040212	    27.6248
0050   	元大台灣50   	20040213	    28.1194
0050   	元大台灣50   	20040216	    27.9716
0050   	元大台灣50   	20040217	    28.1422
0050   	元大台灣50   	20040218	    28.1592
0050   	元大台灣50   	20040219	    28.4264
0050   	元大台灣50   	20040220	    28.4264
0050   	元大台灣50   	20040223	    28.1763
0050   	元大台灣50   	20040224	    28.1138
0050   	元大台灣50   	20040225	    28.1990
0050   	元大台灣50   	20040226	    28.3127
0050   	元大台灣50   	20040227	    28.7391
0050   	元大台灣50   	20040301	    29.5351
0050   	元大台灣50   	20040302	    30.0183
0050   	元大台灣50   	20040303	    29.9615
0050   	元大台灣50   	20040304	    30.2173
0050   	元大台灣50   	20040305	    29.8478
0050   	元大台灣50   	20040308	    29.4782
0050   	元大台灣50   	20040309	    29.5635
0050   	元大台灣50   	20040310	    29.1940
0050   	元大台灣50   	20040311	    29.2224
0050   	元大台灣50   	20040312	    28.6823
0050   	元大台灣50   	20040315	    28.2275
0050   	元大台灣50   	20040316	    27.8579
0050   	元大台灣50   	20040317	    27.9034
0050   	元大台灣50   	20040318	    28.8244
0050   	元大台灣50   	20040319	    28.9950
0050   	元大台灣50   	20040322	    26.9653
0050   	元大台灣50   	20040323	    26.3797
0050   	元大台灣50   	20040324	    26.6924
0050   	元大台灣50   	20040325	    26.6072
0050   	元大台灣50   	20040326	    26.6015
0050   	元大台灣50   	20040329	    27.9148
0050   	元大台灣50   	20040330	    28.0285
0050   	元大台灣50   	20040331	    27.8522
0050   	元大台灣50   	20040401	    27.6874
0050   	元大台灣50   	20040402	    27.8068
0050   	元大台灣50   	20040405	    28.4264
0050   	元大台灣50   	20040406	    28.3810
0050   	元大台灣50   	20040407	    28.3525
0050   	元大台灣50   	20040408	    28.4833
0050   	元大台灣50   	20040409	    28.3127
0050   	元大台灣50   	20040412	    28.9666
0050   	元大台灣50   	20040413	    28.9097
0050   	元大台灣50   	20040414	    29.2224
0050   	元大台灣50   	20040415	    28.6539
0050   	元大台灣50   	20040416	    29.0803
0050   	元大台灣50   	20040419	    28.9381
0050   	元大台灣50   	20040420	    28.9381
0050   	元大台灣50   	20040421	    29.1371
0050   	元大台灣50   	20040422	    28.7107
0050   	元大台灣50   	20040423	    28.8813
0050   	元大台灣50   	20040426	    28.9381
0050   	元大台灣50   	20040427	    28.6539
0050   	元大台灣50   	20040428	    28.3980
0050   	元大台灣50   	20040429	    27.6817
0050   	元大台灣50   	20040430	    27.0051
0050   	元大台灣50   	20040503	    26.1239
0050   	元大台灣50   	20040504	    26.7209
0050   	元大台灣50   	20040505	    25.4132
0050   	元大台灣50   	20040506	    25.7544
0050   	元大台灣50   	20040507	    26.0102
0050   	元大台灣50   	20040510	    25.3564
0050   	元大台灣50   	20040511	    25.4246
0050   	元大台灣50   	20040512	    25.8681
0050   	元大台灣50   	20040513	    25.5838
0050   	元大台灣50   	20040514	    25.0721
0050   	元大台灣50   	20040517	    23.3211
0050   	元大台灣50   	20040518	    23.7077
0050   	元大台灣50   	20040519	    25.3621
0050   	元大台灣50   	20040520	    25.2995
0050   	元大台灣50   	20040521	    25.7032
0050   	元大台灣50   	20040524	    25.6520
0050   	元大台灣50   	20040525	    25.5554
0050   	元大台灣50   	20040526	    26.1239
0050   	元大台灣50   	20040527	    26.1239
0050   	元大台灣50   	20040528	    26.3229
0050   	元大台灣50   	20040531	    25.7828
0050   	元大台灣50   	20040601	    25.6975
0050   	元大台灣50   	20040602	    25.4076
0050   	元大台灣50   	20040603	    24.8106
0050   	元大台灣50   	20040604	    24.4581
0050   	元大台灣50   	20040607	    25.6975
0050   	元大台灣50   	20040608	    25.9249
0050   	元大台灣50   	20040609	    25.8055
0050   	元大台灣50   	20040610	    25.5554
0050   	元大台灣50   	20040611	    24.6969
0050   	元大台灣50   	20040614	    23.9919
0050   	元大台灣50   	20040615	    24.4467
0050   	元大台灣50   	20040616	    24.0772
0050   	元大台灣50   	20040617	    24.6116
0050   	元大台灣50   	20040618	    24.2193
0050   	元大台灣50   	20040621	    24.1739
0050   	元大台灣50   	20040623	    24.9584
0050   	元大台灣50   	20040624	    25.2199
0050   	元大台灣50   	20040625	    25.2427
0050   	元大台灣50   	20040628	    24.8561
0050   	元大台灣50   	20040629	    24.9016
0050   	元大台灣50   	20040630	    25.4417
0050   	元大台灣50   	20040701	    25.5326
0050   	元大台灣50   	20040702	    24.9698
0050   	元大台灣50   	20040705	    24.6742
0050   	元大台灣50   	20040706	    24.9016
0050   	元大台灣50   	20040707	    24.9584
0050   	元大台灣50   	20040708	    24.9129
0050   	元大台灣50   	20040709	    25.2143
0050   	元大台灣50   	20040712	    25.0380
0050   	元大台灣50   	20040713	    24.8447
0050   	元大台灣50   	20040714	    24.6287
0050   	元大台灣50   	20040715	    24.2193
0050   	元大台灣50   	20040716	    24.0943
0050   	元大台灣50   	20040719	    24.0886
0050   	元大台灣50   	20040720	    23.4234
0050   	元大台灣50   	20040721	    23.8725
0050   	元大台灣50   	20040722	    23.6508
0050   	元大台灣50   	20040723	    23.6394
0050   	元大台灣50   	20040726	    23.4234
0050   	元大台灣50   	20040727	    23.7986
0050   	元大台灣50   	20040728	    23.7304
0050   	元大台灣50   	20040729	    23.5257
0050   	元大台灣50   	20040730	    23.8271
0050   	元大台灣50   	20040802	    23.6792
0050   	元大台灣50   	20040803	    23.6906
0050   	元大台灣50   	20040804	    23.4802
0050   	元大台灣50   	20040805	    24.3330
0050   	元大台灣50   	20040806	    24.0317
0050   	元大台灣50   	20040809	    24.0147
0050   	元大台灣50   	20040810	    23.8896
0050   	元大台灣50   	20040811	    23.7475
0050   	元大台灣50   	20040812	    23.7531
0050   	元大台灣50   	20040813	    23.7759
0050   	元大台灣50   	20040816	    23.6792
0050   	元大台灣50   	20040817	    23.7247
0050   	元大台灣50   	20040818	    24.2989
0050   	元大台灣50   	20040819	    25.1290
0050   	元大台灣50   	20040820	    25.1290
0050   	元大台灣50   	20040823	    25.2711
0050   	元大台灣50   	20040826	    26.1239
0050   	元大台灣50   	20040827	    25.9249
0050   	元大台灣50   	20040830	    25.9192
0050   	元大台灣50   	20040831	    25.6691
0050   	元大台灣50   	20040901	    26.0386
0050   	元大台灣50   	20040902	    25.9363
0050   	元大台灣50   	20040903	    25.4928
0050   	元大台灣50   	20040906	    25.5440
0050   	元大台灣50   	20040907	    25.8681
0050   	元大台灣50   	20040908	    25.8510
0050   	元大台灣50   	20040909	    25.8112
0050   	元大台灣50   	20040910	    25.8396
0050   	元大台灣50   	20040913	    26.3229
0050   	元大台灣50   	20040914	    26.3229
0050   	元大台灣50   	20040915	    26.0159
0050   	元大台灣50   	20040916	    26.0159
0050   	元大台灣50   	20040917	    25.8112
0050   	元大台灣50   	20040920	    25.9249
0050   	元大台灣50   	20040921	    26.2717
0050   	元大台灣50   	20040922	    26.3399
0050   	元大台灣50   	20040923	    26.2660
0050   	元大台灣50   	20040924	    25.8112
0050   	元大台灣50   	20040927	    25.8112
0050   	元大台灣50   	20040929	    25.8055
0050   	元大台灣50   	20040930	    25.9249
0050   	元大台灣50   	20041001	    26.3229
0050   	元大台灣50   	20041004	    26.8687
0050   	元大台灣50   	20041005	    26.9994
0050   	元大台灣50   	20041006	    26.8914
0050   	元大台灣50   	20041007	    27.0051
0050   	元大台灣50   	20041008	    27.0051
0050   	元大台灣50   	20041011	    26.8061
0050   	元大台灣50   	20041012	    26.3115
